,Exchange,Coin,Pair,Volume
179,Hitbtc,Dimcoin,DIM/BTC,1
180,Hitbtc,Dipnet,DPN/BTC,37230
181,Kucoin,Distributed credit chain,DCC/BTC,410466
182,Binance,District0x,DNT/BTC,127916
183,Bittrex,Dmarket,DMT/BTC,44585
184,Binance,Dock,DOCK/BTC,1453045
185,Poloniex,Dogecoin,DOGE/BTC,321504
186,Hitbtc,Domraider,DRT/BTC,103291
187,Bittrex,Dopecoin,DOPE/BTC,1793
188,Hitbtc,Dorado,DOR/BTC,21283
189,Hitbtc,Dovu,DOV/BTC,8083
190,Hitbtc,Dragon coins,DRG/BTC,39
191,Kucoin,Dragonchain,DRGN/BTC,79096
192,Hitbtc,Dubaicoin,DBIX/BTC,5043
193,Hitbtc,Dws,DWS/BTC,926
194,Bittrex,Dynamic,DYN/BTC,14523
195,Bittrex,E-gulden,EFL/BTC,418
196,Kucoin,Ebitcoin,EBTC/BTC,171
197,Bittrex,Eboost,EBST/BTC,6147
198,Hitbtc,Echolink,EKO/BTC,157
199,Hitbtc,Edgeless,EDG/BTC,242682
200,Okex,Egretia,EGT/BTC,37886
201,Binance,Eidoo,EDO/BTC,2393180
202,Bittrex,Einsteinium,EMC2/BTC,39789
203,Hitbtc,Ejoy,EJOY/BTC,8213
204,Bittrex,Elastic,XEL/BTC,39455
205,Kucoin,Elastos,ELA/BTC,175272
206,Kucoin,Electrify.asia,ELEC/BTC,7307
207,Kucoin,Electroneum,ETN/BTC,36047
208,Hitbtc,Elementrem,ELE/BTC,3
209,Kucoin,Elixir,ELIX/BTC,5923
210,Hitbtc,Emercoin,EMC/BTC,749894
211,Okex,Encrypgen,DNA/BTC,16072
212,Kucoin,Endor protocol,EDR/BTC,19557
213,Bittrex,Energycoin,ENRG/BTC,11524
214,Hitbtc,Engagement token,ENGT/BTC,93602
215,Binance,Enigma,ENG/BTC,909401
216,Okex,Enjin coin,ENJ/BTC,281714
217,Hitbtc,Envion,EVN/BTC,41239
218,Binance,Eos,EOS/BTC,22048342
219,Hitbtc,Eroscoin,ERO/BTC,1808
220,Hitbtc,Ethbits,ETBS/BTC,20
221,Hitbtc,Etherecash,ECH/BTC,0
222,Binance,Ethereum,ETH/BTC,41407943
223,Okex,Ethereum classic,ETC/BTC,27136986
224,Hitbtc,Etheroll,DICE/BTC,0
225,Binance,Etherparty,FUEL/BTC,208788
